Type,Name1,Name2,Const,Linear_1,Linear_2,Linear_3,Linear_4,Linear_5,Linear_6,Linear_7,Linear_8,Linear_9,Linear_10,Linear_11,Linear_12
linear,,,,,,,,,,,,,,,
linear,Close Hand,Open Hand,47.223025257213,-269.056731746159,90.5497074088573,-12.3820322475544,-440.913235297548,1.27480241970988,-0.459125604876912,0.418648018586986,0.893442418250957,-0.0359193771255579,-0.361473924006777,-0.140537067874359,0.100805500430171
linear,Flex Hand,Open Hand,-90.0052195416247,-115.5439472391,363.356109449024,-382.608641204179,-623.894741452196,-0.64595716711292,-1.82539434296324,2.91035311061002,1.98624836968968,0.775988687129464,1.00130987145968,-1.03714406822836,-0.0702334269077491
linear,Extend Hand,Open Hand,-170.597322659691,-531.600566028917,-967.76340867691,375.436496155499,-1136.40234188044,3.62872933189138,5.58344450816408,-1.4970321164433,2.45653693667786,-0.309241686897876,-0.72839507929918,0.406630359782163,0.433018474721703
linear,Pronation,Open Hand,26.1329874979742,-221.555033192442,166.655321326023,246.029463616356,-1140.21368092933,1.35918783884866,-1.09539088629502,0.671313456421326,2.06995134927623,0.0909851902023867,-0.0286872921261408,-0.536430307469167,0.199066930623051
linear,Supination,Open Hand,36.3376270145337,-477.998617259624,-325.733846877167,63.1463447402428,-865.654475533389,1.9579040427724,1.94749144454183,0.472954699718872,1.74701590879445,-0.0340224879131415,-0.359120674857008,-0.208578893217134,0.232197828857942
linear,Side Grip,Open Hand,13.2554129675835,-234.323727987736,75.1736185906603,170.101224770687,-813.310121806019,1.04130300495001,-0.31560372674476,0.0658033463207893,1.66807309228667,-0.118859613679721,-0.0455437097509418,-0.176757121021779,0.453378983958226
linear,Fine Grip,Open Hand,36.2803195610399,-235.965064051278,-127.684132302468,170.257286566221,-800.379324140058,0.64690152737486,1.01157200552902,0.0551519012618631,1.58125149494755,-0.189023277899141,-0.602523973190961,0.0896598959817509,0.39548407620763
linear,Agree,Open Hand,-88.2887019927603,-118.395601039923,71.9566399863042,268.130466392104,-644.505871836498,0.794840530950631,-0.144766918890517,-0.441559216584243,1.22926293335834,-0.346713851240585,0.0731260614848755,0.494549238862223,0.530129113151508
linear,Pointer,Open Hand,-139.634536464216,-4.98094010140045,125.21877203909,184.091338089749,-465.244496725672,-0.107499041976809,-0.306802016487194,0.145700044504832,0.771483140353037,0.452755385276653,0.213964294499538,0.547184457665121,0.242639594983356
linear,Open Hand,Close Hand,-47.223025257213,269.056731746159,-90.5497074088573,12.3820322475544,440.913235297548,-1.27480241970988,0.459125604876912,-0.418648018586986,-0.893442418250957,0.0359193771255579,0.361473924006777,0.140537067874359,-0.100805500430171
linear,,,,,,,,,,,,,,,
linear,Flex Hand,Close Hand,-137.228244798838,153.512784507059,272.806402040167,-370.226608956625,-182.981506154648,-1.9207595868228,-1.36626873808633,2.49170509202304,1.09280595143872,0.811908064255022,1.36278379546646,-0.896607000353999,-0.17103892733792
linear,Extend Hand,Close Hand,-217.820347916904,-262.543834282757,-1058.31311608577,387.818528403053,-695.489106582892,2.3539269121815,6.04257011304099,-1.91568013503029,1.5630945184269,-0.273322309772317,-0.366921155292403,0.547167427656521,0.332212974291532
